order,target,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
27,27,25-02-27 1639,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU3332842,Y-TSCT-1A4702.1,1A4702.1,Y-TSCT-Q06,1AA47,R311,T-TJCD1915-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25751,V-AILK_009-190408,1A,47,2,1,V-AILK_009,19,4,8,18
28,28,25-02-27 1653,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1112108,Y-TSCT-1A4710.1,1A4710.1,Y-TSCT-Q06,1AA47,R311,T-TJCA3600-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25848,V-AILK_009-170510,1A,47,10,1,V-AILK_009,17,5,10,18
29,29,25-02-27 1655,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU2740935,Y-TSCT-1A4709.1,1A4709.1,Y-TSCT-Q06,1AA47,R311,T-TJCK2700-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25828,V-AILK_009-190510,1A,47,9,1,V-AILK_009,19,5,10,18
30,30,25-02-27 1729,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1479334,Y-TSCT-1A4707.4,1A4707.4,Y-TSCT-Q06,1AA47,R311,T-TJCA5257-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25791,V-AILK_009-170512,1A,47,7,4,V-AILK_009,17,5,12,18
31,31,25-02-27 1731,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5345311,Y-TSCT-1A4707.3,1A4707.3,Y-TSCT-Q06,1AA47,R311,T-TJCA3600-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25851,V-AILK_009-190512,1A,47,7,3,V-AILK_009,19,5,12,18
32,32,25-02-27 1736,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1742025,Y-TSCT-1A4707.2,1A4707.2,Y-TSCT-Q06,1AA47,R311,T-TJCA7698-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25851,V-AILK_009-170112,1A,47,7,2,V-AILK_009,17,1,12,18
33,33,25-02-27 1738,UNIT_YARD_MOVE,LOAD,EXPRT,MSCU6254143,Y-TSCT-1A4707.1,1A4707.1,Y-TSCT-Q06,1AA47,R311,T-TJCA8771-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25911,V-AILK_009-190112,1A,47,7,1,V-AILK_009,19,1,12,18
34,34,25-02-27 1856,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU5708501,Y-TSCT-1A5011.3,1A5011.3,Y-TSCT-Q01,1AA50,R311,T-TJC50798-2 (TQ),AILK_009,AEJEA,CNTSN,NOM96,NOM40,45G1,28108,V-AILK_009-701714,1A,50,11,3,V-AILK_009,70,17,14,2
35,35,25-02-27 1859,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU5708374,Y-TSCT-1A5011.2,1A5011.2,Y-TSCT-Q01,1AA50,R311,T-TJCC6626-2 (TQ),AILK_009,AEJEA,CNTSN,NOM96,NOM40,45G1,28108,V-AILK_009-701514,1A,50,11,2,V-AILK_009,70,15,14,2
36,36,25-02-27 1902,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU6403127,Y-TSCT-1A5011.1,1A5011.1,Y-TSCT-Q01,1AA50,R311,T-TJCK2192-2 (TQ),AILK_009,AEJEA,CNTSN,NOM96,NOM40,45G1,29520,V-AILK_009-701314,1A,50,11,1,V-AILK_009,70,13,14,12
37,37,25-02-27 1904,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU5598908,Y-TSCT-1A5010.2,1A5010.2,Y-TSCT-Q01,1AA50,R311,T-TJCK2082-2 (TQ),AILK_009,AEJEA,CNTSN,NOM96,NOM40,45G1,20155,V-AILK_009-701414,1A,50,10,2,V-AILK_009,70,14,14,2
38,38,25-02-27 1923,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU6306268,Y-TSCT-1A5010.1,1A5010.1,Y-TSCT-Q01,1AA50,R311,T-TJCD1988-2 (TQ),AILK_009,AEJEA,CNTSN,NOM96,NOM40,45G1,19230,V-AILK_009-701614,1A,50,10,1,V-AILK_009,70,16,14,12
39,39,25-02-27 1936,UNIT_YARD_MOVE,LOAD,EXPRT,MSCU4997915,Y-TSCT-1A5009.1,1A5009.1,Y-TSCT-Q01,1AA50,R311,T-TJCG1636-2 (TQ),AILK_009,AEJEA,CNTSN,NOM96,NOM40,45G1,8584,V-AILK_009-701916,1A,50,9,1,V-AILK_009,70,19,16,12
40,40,25-02-27 1400,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3683416,Y-TSCT-1A5510.5,1A5510.5,Y-TSCT-Q06,1AA55,R311,T-TJC98708-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25810,V-AILK_009-170402,1A,55,10,5,V-AILK_009,17,4,2,18
41,41,25-02-27 1641,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3685086,Y-TSCT-1A5511.4,1A5511.4,Y-TSCT-Q06,1AA55,R311,T-TJC16537-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25810,V-AILK_009-170808,1A,55,11,4,V-AILK_009,17,8,8,18
42,42,25-02-27 1643,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3683859,Y-TSCT-1A5510.4,1A5510.4,Y-TSCT-Q06,1AA55,R311,T-TJC79065-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25810,V-AILK_009-190808,1A,55,10,4,V-AILK_009,19,8,8,18
43,43,25-02-27 1706,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3689271,Y-TSCT-1A5511.3,1A5511.3,Y-TSCT-Q06,1AA55,R311,T-HBJ1A917-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170210,1A,55,11,3,V-AILK_009,17,2,10,18
44,44,25-02-27 1708,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688315,Y-TSCT-1A5510.3,1A5510.3,Y-TSCT-Q06,1AA55,R311,T-TJCC6128-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190210,1A,55,10,3,V-AILK_009,19,2,10,18
45,45,25-02-27 1711,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688146,Y-TSCT-1A5511.2,1A5511.2,Y-TSCT-Q06,1AA55,R311,T-TJC75176-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170610,1A,55,11,2,V-AILK_009,17,6,10,18
46,46,25-02-27 1713,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3686349,Y-TSCT-1A5510.2,1A5510.2,Y-TSCT-Q06,1AA55,R311,T-TJCB1380-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190610,1A,55,10,2,V-AILK_009,19,6,10,18
47,47,25-02-27 1745,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688887,Y-TSCT-1A5511.1,1A5511.1,Y-TSCT-Q06,1AA55,R311,T-TJC75715-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170412,1A,55,11,1,V-AILK_009,17,4,12,18
48,48,25-02-27 1747,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3686375,Y-TSCT-1A5510.1,1A5510.1,Y-TSCT-Q06,1AA55,R311,T-TJCA8879-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190412,1A,55,10,1,V-AILK_009,19,4,12,18
49,49,25-02-27 2125,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3711544,Y-TSCT-2A2504.5,2A2504.5,Y-TSCT-Q03,2AA25,R322,T-TJCF1997-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,29200,V-AILK_009-490902,2A,25,4,5,V-AILK_009,49,9,2,7
50,50,25-02-27 2128,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU3444460,Y-TSCT-2A2502.3,2A2502.3,Y-TSCT-Q03,2AA25,R322,T-TJCA7219-3 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,29275,V-AILK_009-510902,2A,25,2,3,V-AILK_009,51,9,2,7
51,51,25-02-27 2130,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU4342706,Y-TSCT-2A2502.2,2A2502.2,Y-TSCT-Q03,2AA25,R322,T-TJCA7219-3 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,29225,V-AILK_009-490502,2A,25,2,2,V-AILK_009,49,5,2,7
